oslaua,la_name,charity_count_local,charitable_spending_local,Pct_Leave,population,perhead_charity_count,perhead_charity_count_local,perhead_charitable_spending_local,IMD_average_score,IMD_extent,IMD_concentration,public_ core_spend_m,public_ core_spend_m_rank,public_core_spend_per_head,public_core_spend_per_head_rank,threesixty_total_amount,threesixty_blf,threesixty_blf_amount,threesixty_charity,threesixty_charity_amount,threesixty_national,threesixty_national_amount,threesixty_total,threesixty_total_amount
E07000139,North Kesteven,252,9.58593931,62.26,111876,0.002654725,0.002252494,85.68360783,11.58,0.0026,22177.17,12.51944425,109,111.9046467,61,10046251,23,1353783,20,5226351,46,4045115,53,10856674
E07000093,Test Valley,277,24.37055715,51.94,120712,0.003197694,0.002294718,201.890095,10.622,0.0089,22496.41,13.52624633,128,112.0538665,62,1622067,14,126984,6,190207,16,260019,18,293019
E07000242,East Hertfordshire,352,67.61370106,50.36,144719,0.003434242,0.0024323,467.2068012,8.136,0.001,18158.09,16.22024903,170,112.0809916,63,1527399,10,96741,2,72969,14,201866,14,201866
E07000011,Huntingdonshire,364,23.38010805,54.24,174966,0.002640513,0.002080404,133.6265792,11.791,0.017,22750.85,19.61188155,191,112.089672,64,63966,13,94163,7,279123,20,482287,21,532287
E07000009,East Cambridgeshire,206,23.96777119,50.92,87306,0.002955123,0.002359517,274.5260485,12.108,0,20525.18,9.80143354,43,112.2652915,65,8972795,19,318230,16,633994,32,1032049,37,1187049
E07000135,Oadby and Wigston,63,2.670454141,54.58,55833,0.001844787,0.001128365,47.82931494,13.132,0.0439,25195.47,6.268516721,5,112.2726116,66,217546,16,381286,13,787094,36,1281393,41,1710133
E07000141,South Kesteven,289,32.18208643,59.93,138909,0.002757201,0.002080499,231.6774754,14.225,0.0458,25926.34,15.6038707,161,112.3316034,67,8597301.54,14,2643633,10,2725215,18,2925739,18,2925739
E07000189,South Somerset,457,50.9762503,57.25,164982,0.003612515,0.002769999,308.9806785,16.644,0.062,27106.91,18.57867968,184,112.6103434,68,4292872,20,1133359,9,910012,38,1976554,39,2061026
E07000006,South Bucks,121,20.01493753,50.7,69120,0.003342014,0.001750579,289.567962,9.328,0,16930.31,7.797484016,14,112.810822,69,626246,10,1044003,7,1144913,21,1502399,22,1527399
E07000105,Ashford,287,13.80848891,59.43,124250,0.002993964,0.002309859,111.1347196,17.333,0.0906,27994.58,14.03959959,137,112.9947653,70,483500,11,1000613,9,1119361,21,1195648,22,1349648
E07000190,Taunton Deane,283,22.05667815,52.92,114021,0.003236246,0.002481999,193.4439985,16.514,0.0763,28236.07,12.95422599,115,113.6126327,71,3483089,22,994363,12,1101399,35,1424545,35,1424545
E07000096,Dacorum,282,43.14135688,50.67,151350,0.002510737,0.001863231,285.043653,12.174,0.0173,23514.27,17.25381223,176,113.9994201,72,242657,23,216127,11,150744,33,447637,34,622637
E07000170,Ashfield,96,5.53078475,69.84,123574,0.001027724,0.000776862,44.75686431,25.416,0.2402,30977.27,14.08858614,138,114.0093073,73,1370403,12,114230,3,29057,13,124099,13,124099
E07000206,Waveney,226,13.34697861,62.9,116182,0.002745692,0.001945224,114.8799178,25.135,0.2082,31951.59,13.25392455,120,114.0789843,74,115991,14,126852,2,50370,19,223520,19,223520
E07000109,Gravesham,139,19.58824674,65.38,106299,0.00160867,0.001307632,184.274986,21.684,0.1827,30401.48,12.13198943,94,114.1307955,75,110920,15,116510,10,113610,20,279072,20,279072
E07000203,Mid Suffolk,372,14.9672881,55.23,99632,0.004496547,0.00373374,150.2257116,12.679,0.0141,20250.49,11.44123445,81,114.8349371,76,3683932,17,1064183,5,948485,24,1263031,25,1271331
E07000102,Three Rivers,114,22.44628163,51.27,91674,0.002487074,0.001243537,244.848939,9.98,0.0214,22884.21,10.53293281,61,114.8955299,77,279072,18,149135,5,37954,29,976143,29,976143
E07000074,Maldon,142,4.874376507,62.58,62743,0.002709466,0.002263201,77.68797327,14.506,0.0192,23812.4,7.212262615,10,114.949279,78,3705417,12,110408,2,40000,16,409483,18,428483
E07000090,Havant,118,18.2434475,62.36,122927,0.001439879,0.000959919,148.4087914,21.166,0.2341,30114.04,14.15772111,141,115.1717776,79,814815,13,110318,4,76107,15,170117,15,170117
E07000225,Chichester,362,58.64357758,50.92,116976,0.004582137,0.003094652,501.3299957,12.994,0.0048,22166.81,13.49038227,127,115.3260692,80,1058983,21,153388,13,228566,31,635664,34,737890
E07000171,Bassetlaw,186,20.21380712,67.83,114533,0.001999424,0.001623986,176.4889344,22.729,0.1988,31154.31,13.20896051,119,115.3288616,81,1972029,29,1067445,28,1716293,55,2402869,57,2418869
E07000127,West Lancashire,139,7.59022659,55.31,112742,0.001809441,0.001232903,67.3238597,19.983,0.1775,31220.51,13.00852024,117,115.3830892,82,293019,18,140067,12,239202,22,252304,23,400951
E07000236,Redditch,62,7.058159927,62.29,84743,0.001156438,0.000731624,83.28900236,21.218,0.2203,30057.16,9.787551206,42,115.4968694,83,737890,14,863786,10,933756,17,994472,18,1039468
E07000193,East Staffordshire,184,24.51890348,63.21,116040,0.002197518,0.00158566,211.2969966,18.817,0.1643,28813.21,13.41477799,125,115.6047741,84,84203,19,617914,12,806883,23,831004,24,891999
E07000235,Malvern Hills,240,48.4075686,52.16,75731,0.004383938,0.003169112,639.2041383,16.067,0.0461,26304.4,8.755451076,25,115.6125111,85,285839,37,1803849,23,1809495,45,1902445,48,2039165
E07000134,North West Leicestershire,145,3.509542259,60.7,97247,0.002097751,0.001491049,36.08895142,14.902,0.0451,26310.07,11.24427673,79,115.6259497,86,1045003,20,607164,13,252866,23,752464,24,787464
E07000187,Mendip,330,72.13678235,48.93,111724,0.003938276,0.002953707,645.669528,17.204,0.0455,25845.49,12.98492128,116,116.2232043,87,1415034,20,741252,14,1599948,27,1878978,28,1928978
E07000131,Harborough,240,4.817401904,50.75,89284,0.003595269,0.002688052,53.95593728,8.324,0.0034,17525.06,10.38142811,58,116.2742273,88,612301,2,14810,3,17310,5,37738,5,37738
E07000175,Newark and Sherwood,277,73.31964624,60.39,118569,0.003061508,0.002336192,618.3711277,18.755,0.1419,29256.46,13.82735877,135,116.6186674,89,2325269,6,84203,3,63238,6,84203,6,84203
E07000234,Bromsgrove,128,33.42500287,55.37,95768,0.002182357,0.001336563,349.0205796,11.071,0.0141,22990.38,11.18216594,76,116.7630726,90,1638744,11,219675,11,228692,14,246822,16,262492
E07000041,Exeter,284,78.37502156,44.72,127308,0.003071292,0.00223081,615.6331225,18.212,0.1126,28313.11,14.86986904,155,116.8023144,91,352994,4,30070,2,20932,4,30070,5,41284
E07000092,Rushmoor,81,6.297172999,58.21,95342,0.001804032,0.000849573,66.04825784,15.135,0.0408,25460.81,11.15805979,75,117.0319459,92,164786,17,563889,20,480910,25,936164,29,991024
E07000146,King's Lynn and West Norfolk,383,18.12815619,66.4,151013,0.002999742,0.002536205,120.0436796,23.403,0.1531,30614.92,17.68825895,180,117.1307036,93,1349648,6,448056,6,569840,10,603056,10,603056
E07000174,Mansfield,132,10.48196438,70.86,106556,0.001482788,0.001238785,98.37047543,27.764,0.3329,31315.66,12.49941171,108,117.3036874,94,1095089,18,144680,10,154668,21,327994,22,352994
E07000113,Swale,238,14.58698522,62.46,142417,0.001923928,0.001671149,102.4244663,25.724,0.2302,32155.91,16.71403194,174,117.3598092,95,1757651,19,630326,15,789896,28,1014153,31,1399653
E07000049,East Dorset,174,23.08974973,57.62,88690,0.00319089,0.00196189,260.3422001,9.311,0.0044,20604,10.41675969,60,117.4513439,96,576588,15,1111888,12,995577,22,1374346,23,1394346
E07000063,Lewes,205,21.17165508,47.93,100693,0.003267357,0.002035891,210.2594528,15.074,0.0277,24769.48,11.83200971,89,117.505782,97,113739,12,101858,12,193803,16,241858,19,314275
E07000192,Cannock Chase,72,2.527358138,68.86,98535,0.001055463,0.000730705,25.64934427,20.931,0.145,28900.37,11.58194747,86,117.541457,98,1271331,27,261973,16,313345,34,475607,36,613910
E07000213,Spelthorne,111,10.7629927,60.3,98469,0.001695965,0.001127258,109.3033615,13.189,0.0068,22645.24,11.57955625,84,117.5959566,99,2418869,9,439231,3,453643,14,534936,14,534936
E07000219,Nuneaton and Bedworth,96,8.651440999,66.01,126319,0.001203303,0.000759981,68.48883382,22.933,0.1945,30591.78,14.85679622,154,117.6133141,100,430493,7,82844,3,62090,9,174542,9,174542
E07000076,Tendring,237,20.44865721,69.5,141183,0.002075321,0.001678672,144.8379565,28.445,0.2775,31958.5,16.6175501,173,117.7022028,101,201866,12,211975,12,686457,19,840332,19,840332
E07000072,Epping Forest,197,10.10504577,62.69,129677,0.002336575,0.001519159,77.9247343,15.263,0.0271,24553.83,15.27299115,157,117.7771783,102,51368,7,389356,6,387856,9,494050,9,494050
E07000163,Craven,215,14.85795538,52.83,55801,0.004623573,0.003852978,266.26683,12.527,0.0245,23109.41,6.582764752,8,117.9685803,103,686452,12,547768,8,450600,23,1073191,25,1103441
E07000224,Arun,237,16.99805046,62.48,155732,0.002067655,0.001521845,109.149375,17.671,0.1047,28881.3,18.40815173,183,118.2040411,104,210481,28,1112799,21,1248762,40,1544517,43,1622067
E07000051,Purbeck,135,5.431254978,59.07,46212,0.003721977,0.002921319,117.5291045,13.803,0,19799.4,5.46663721,3,118.2947548,105,5438743.5,7,44593,7,308703,11,285545,16,576588
E07000078,Cheltenham,214,97.34653003,43.83,116781,0.002543222,0.00183249,833.5819185,15.071,0.1156,28843.76,13.83138486,136,118.4386575,106,273391,7,535193,8,678605,15,930922,16,978729
E07000220,Rugby,184,50.46453304,56.7,103443,0.00241679,0.001778757,487.8486997,13.051,0.0237,24370.39,12.25277618,98,118.449544,107,2973359,6,58996,3,29096,9,93481,9,93481
E07000048,Christchurch,63,2.886536844,58.83,49057,0.002181136,0.00128422,58.84046811,12.547,0.041,25139.06,5.811690864,4,118.4681261,108,70484,6,45137,6,36937,7,46937,7,46937
E07000147,North Norfolk,410,51.91786236,58.91,103308,0.00465598,0.003968715,502.5541329,21.343,0.0437,25264.62,12.25006023,97,118.5780407,109,1083242,10,547781,7,680882,17,928900,18,939400
E07000243,Stevenage,76,6.181206268,59.25,86469,0.001144919,0.000878928,71.48465078,18.388,0.0354,25178.72,10.27363316,54,118.8129059,110,4181871,4,22265,2,19640,7,52025,8,54025
E07000026,Allerdale,322,18.5870229,58.65,96660,0.00352783,0.003331264,192.2928088,22.55,0.1926,31051.61,11.48582563,83,118.8270808,111,3541021,8,73152,5,76901,11,90081,12,140081
E07000052,West Dorset,418,76.14253743,51.03,100747,0.005280554,0.004149007,755.7796999,14.24,0.0097,22065.27,11.99452718,91,119.055924,112,1153188,4,123149,4,122122,6,179446,10,217546
E07000043,North Devon,260,15.32761196,57.04,94172,0.003249373,0.002760906,162.7618821,20.682,0.1198,29377.67,11.22549079,78,119.2020005,113,24872556.5,25,447554,14,479564,31,662754,32,686452
E07000240,St Albans,295,94.37252341,37.29,145797,0.003155072,0.002023361,647.2871418,7.668,0,18737.81,17.38108987,178,119.2143176,114,759074,20,1815254,27,2654908,35,2932009,38,2973359
